,track_name,artist,track_id,release_date,url,date_added
81,Black Spasmodic,A Tribe Called Quest,1qju0WsEHiDZoOBBDp8aAk,2016-11-11,https://i.scdn.co/image/ab67616d00001e0289450c8e877bf04203b86819,2022-03-22 18:40:02+00:00
79,Cinderella (feat. Ty Dolla $ign),Mac Miller,2lpygKqzPFtItQ4ss3cgfb,2016-09-16,https://i.scdn.co/image/ab67616d00001e022e92f776279eaf45d14a33fd,2022-03-22 18:40:02+00:00
9,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,2016-09-16,https://i.scdn.co/image/ab67616d00001e02f54b99bf27cda88f4a7403ce,2022-03-22 18:40:02+00:00
69,Pt. 2,Kanye West,1Wsbr1d2BouNGk2q92mIj7,2016-06-10,https://i.scdn.co/image/ab67616d00001e022a7db835b912dc5014bd37f4,2022-03-22 18:40:02+00:00
4,Canal St. (feat. Bones),A$AP Rocky,0rBMP6VVGRgwnzZCLpijyl,2015-05-26,https://i.scdn.co/image/ab67616d00001e0281a6a2cafab2e7a4066b5eec,2022-03-22 18:40:02+00:00
78,Wesley's Theory,Kendrick Lamar,7Ks4VCY1wFebnOdJrM13t6,2015-03-16,https://i.scdn.co/image/ab67616d00001e02cdb645498cd3d8a2db4d05e1,2022-03-22 18:40:02+00:00
74,Loveleen,Rejjie Snow,34HAlaqKnkgvYMXuAO3hoU,2013-06-24,https://i.scdn.co/image/ab67616d00001e02e311b35d5fb118be05792852,2022-03-22 18:40:02+00:00
86,Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,2005-05-23,https://i.scdn.co/image/ab67616d00001e0219d85a472f328a6ed9b704cf,2022-03-22 18:40:02+00:00
85,Electric Relaxation,A Tribe Called Quest,0eEXcw3JLVXcRxYrVYMy68,1999-10-26,https://i.scdn.co/image/ab67616d00001e02b1ddb9f5f519e0d37bc94a53,2022-03-22 18:40:02+00:00
47,Hypnotize - 2014 Remaster,The Notorious B.I.G.,7KwZNVEaqikRSBSpyhXK2j,1997-03-04,https://i.scdn.co/image/ab67616d00001e02fde79b88e2a659c394c5ae30,2022-03-22 18:40:02+00:00
