,track_name,artist_name,track_id,release_date,date_added,url
30,Cocaine Model,ZHU,5Z3trOR982mBrJcPfrLUsq,2014-09-11,2022-03-23 04:37:35+00:00,https://i.scdn.co/image/ab67616d00001e02a5aa7beadbc1f93d0ec01f23
31,Ziploc,88GLAM,02Ak5xEjojFSbhap7gvIDM,2022-03-18,2022-03-19 19:58:03+00:00,https://i.scdn.co/image/ab67616d00001e02c23064a646f126118c629136
32,Pool,Still Woozy,1Z82ecXtEeTGpQZYL4URxN,2022-03-17,2022-03-19 19:57:05+00:00,https://i.scdn.co/image/ab67616d00001e02fbe62842a36bb1c1637ad548
33,Chase The Money,E-40,3rnDyg4f2oRsWmXdZVFD1Y,2019-07-26,2022-03-18 07:30:16+00:00,https://i.scdn.co/image/ab67616d00001e027820832473cbde86d2f43f05
34,Iced Tea,Joyce Wrice,6kmXHLDDK7RQXTjHooTCzH,2022-03-16,2022-03-17 06:51:46+00:00,https://i.scdn.co/image/ab67616d00001e02c5fc4f2f65d0dc1b2432a777
35,It's A Killa,FISHER,2cAYjs1WvosMFadzTDmmzD,2022-03-11,2022-03-15 17:19:50+00:00,https://i.scdn.co/image/ab67616d00001e029b84d8aa3fcd46505e615372
36,My Level,Kyle Watson,5k0O8AN6LTMLWAzDwYwLRo,2020-07-31,2022-03-15 16:05:52+00:00,https://i.scdn.co/image/ab67616d00001e02e63de18f32cca803f918cd1e
37,Break from Toronto,PARTYNEXTDOOR,79MSEdtXuudhGhC5AtG07g,2013-07-01,2022-03-15 00:19:56+00:00,https://i.scdn.co/image/ab67616d00001e020a4fd8aa50652821b1a2a054
38,ALIEN LOVE CALL,Turnstile,5o5SdS2vu1PgKblBABGlER,2021-08-27,2022-03-14 14:42:09+00:00,https://i.scdn.co/image/ab67616d00001e02a4499cf37a6fe4ff043dc9f2
39,Come and See Me (feat. Drake),PARTYNEXTDOOR,1wZqJM5FGDEl3FjHDxDyQd,2016-08-12,2022-03-14 14:18:31+00:00,https://i.scdn.co/image/ab67616d00001e0246b39ced8f129323f46ebb14
40,Backstage Pass (with Monte Booker & The Drums),Smino,4LLNd36WeJKv8pzjGeoMXZ,2020-08-14,2022-03-14 13:53:40+00:00,https://i.scdn.co/image/ab67616d00001e021e66293779b70e5d0f1b2c91
41,WATERBOYZ (with JID & J. Cole),EARTHGANG,1KyXCd04yHni5pMGFwgzuE,2022-02-25,2022-03-14 13:47:41+00:00,https://i.scdn.co/image/ab67616d00001e02bc068218b0bc65765722ddac
42,邦画,indigo la End,4zfsk7inEPq0PawGyU6oHi,2021-12-03,2022-03-14 13:33:04+00:00,https://i.scdn.co/image/ab67616d00001e02c0ad965263b4d73b317a4848
43,Forbidden Feelingz,Nia Archives,0wrs5ucXutScEWOhdWdGBB,2021-10-14,2022-03-12 00:40:56+00:00,https://i.scdn.co/image/ab67616d00001e02545239c44186ada46174a32f
44,Killing Me,Omar Apollo,1vghSeMBb7AIMT3JaMrlHO,2022-03-11,2022-03-11 16:15:31+00:00,https://i.scdn.co/image/ab67616d00001e024a9842cb4d6ba41d5ceed04e
45,"OPEN A WINDOW (feat. Tyler, The Creator)",Rex Orange County,0YpaoMOUSP3jwZ4RgqNESG,2022-03-09,2022-03-11 16:14:07+00:00,https://i.scdn.co/image/ab67616d00001e02b6f543a67dd48a04ec13ccc0
46,Hear Me Clearly (with Nigo),Pusha T,0WxzTL8Ptu103bVeYcBzoS,2022-03-04,2022-03-10 16:53:54+00:00,https://i.scdn.co/image/ab67616d00001e021c4dd401c0dea1aef86796b8
47,The Color Violet,Tory Lanez,3azJifCSqg9fRij2yKIbWz,2021-12-10,2022-03-04 03:52:03+00:00,https://i.scdn.co/image/ab67616d00001e020c5f23cbf0b1ab7e37d0dc67
48,Power Power (feat. Shaun Ross),Duckwrth,5XzBAMcPTnB3p1xzYyVhxc,2022-03-02,2022-03-03 16:38:28+00:00,https://i.scdn.co/image/ab67616d00001e026eea4f947e9a85e008f598db
49,505,Arctic Monkeys,58ge6dfP91o9oXMzq3XkIS,2007-04-24,2022-03-02 03:54:07+00:00,https://i.scdn.co/image/ab67616d00001e020c8ac83035e9588e8ad34b90
